번호,광고제목,링크
1,YouTube,https://tvcf.co.kr/hot/youtube
2,크리에이티브,https://tvcf.co.kr/hot/creative
3,크리에이티브,https://tvcf.co.kr/hot/creative-print
4,TVCF Best,https://tvcf.co.kr/hot/best
5,크리에이티브,https://tvcf.co.kr/hot/creative
6,인기Top100,https://tvcf.co.kr/hot/popular
7,Youtube,https://tvcf.co.kr/hot/youtube
8,최근 본 작품,https://tvcf.co.kr/feed/recent
9,좋아한 작품,https://tvcf.co.kr/feed/favorite
10,나중에 볼 작품,https://tvcf.co.kr/feed/later
11,My 컬렉션,https://tvcf.co.kr/save/collections
12,FAQ/ 고객센터,https://tvcf.co.kr/helpdesk
13,공지/ 뉴스,https://tvcf.co.kr/notice
14,소비자 Choice,https://www.adconsumerreport.com/
15,눈에 띄는 국내 CF,https://tvcf.co.kr/hot/prominent
16,"아리수

[이럴水가] 아리땁다 아리수 - 30초",https://tvcf.co.kr/play/ai1989-1019198
17,"한솔

당연, 한솔이 하고있습니다",https://tvcf.co.kr/play/bi1933-1019993
18,"하리보 골드베렌

야구팬",https://tvcf.co.kr/play/bi1779-1019477
19,산토리 하이볼[산토리 하이볼] 박지훈의 집 편 풀버전,https://tvcf.co.kr/play/bi1712-1019371
20,여기어때올여름 대한민국을 사랑한 위인과 여행어때? (ft.이순신 장군) 15s,https://tvcf.co.kr/play/bi1892-1019389
21,교보생명교보생명 X 대한민국 축구 | 또 한 번의 팀플레이,https://tvcf.co.kr/play/ai1926-1019492
22,색다른 해외 CF,https://tvcf.co.kr/hot/prominent?country_code=1
23,"TESCO

Free Fruit & Veg For Schools",https://tvcf.co.kr/play/bi1692-1015569
24,"McDonald's

Bear With Me",https://tvcf.co.kr/play/bi1237-1015223
25,"Caesars Republic Lake Tahoe Hotel & Casino

Great Redirect",https://tvcf.co.kr/play/ai1248-1015224
26,Skittles  Skittles but they're soft.,https://tvcf.co.kr/play/ai1741-1015874
27,VELUX  The magic is here. Let it in.,https://tvcf.co.kr/play/ai2706-1015870
